Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Photo,Poids à vide,PTC,Essieux,Puissance,Etat
00013489,Tracteur DAF XF 530,538 000 km,18/12/2019,Gazoil,DAF,530,FRANCE,45800,BERROYER, Vendée,https://photo.static-viamobilis.com/31/1/8992326_th.jpg,8.27 Tonnes,19 Tonnes,4x2,530,Occasion
LOC-VO24-1637-A,Tracteur Volvo neuf FH 500 AERO Globetrotter XXL (Location / Rent),3 000 km,25/09/2025,Gazoil,Volvo,530,FRANCE,2600,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10399575_th.jpg,8.27 Tonnes,19 Tonnes,4x2,510,Neuf
LOC-VO24-1637-C,Tracteur Volvo FH 500 AERO Globetrotter XXL (Location / Rent),3 000 km,25/09/2025,Gazoil,Volvo,1843,FRANCE,2600,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10399571_th.jpg,8.27 Tonnes,19 Tonnes,4x2,510,Occasion
GK-715-RN,Tracteur auto-école Iveco S-WAY 460,70 400 km,23/11/2022,Gazoil,Iveco,440,FRANCE,65000,Mauffrey, Vosges,https://photo.static-viamobilis.com/31/1/10551912_th.jpg,7.51 Tonnes,19 Tonnes,4x2,430,Occasion
FZ-374-MW,Tracteur auto-école Iveco S-WAY 460,85 555 km,27/05/2021,Gazoil,Iveco,1848 LS,FRANCE,62000,Mauffrey, Vosges,https://photo.static-viamobilis.com/31/1/10457056_th.jpg,8.27 Tonnes,44 Tonnes,4x2,482,Occasion
XLRTEH4300G375129,Tracteur Mercedes Actros 1843,346 672 km,16/03/2016,Gazoil,Mercedes,18.580 XXL,FRANCE,37000,Trans lev, Jura,https://photo.static-viamobilis.com/31/1/9917792-photo-tracteur_th.jpg,7.65 Tonnes,18 Tonnes,4x2,482,Occasion
XLRTEH4300G345965,Tracteur DAF 480 XF FT 4X2,359 568 km,21/10/2021,Gazoil,DAF,1851,FRANCE,36000,DAF Used Trucks France - Saint-Priest (Lyon), Rhône,https://photo.static-viamobilis.com/31/1/10639642_th.jpg,6.87 Tonnes,19 Tonnes,4x2,460,Occasion
00013161,Tracteur DAF 480 XF FT 4X2,325 148 km,04/03/2021,Gazoil,DAF,18.470,FRANCE,35200,DAF Used Trucks France - Saint-Priest (Lyon), Rhône,https://photo.static-viamobilis.com/31/1/10137064_th.jpg,8.58 Tonnes,19 Tonnes,4x2,530,Occasion
VO25-1966,Tracteur DAF XF 530,538 000 km,18/12/2019,Gazoil,DAF,18.460,FRANCE,45800,BERROYER, Vendée,https://photo.static-viamobilis.com/31/1/8992326_th.jpg,7.65 Tonnes,18 Tonnes,4x2,490,Occasion
LOC-VO24-1637-C,Tracteur Volvo neuf FH 500 AERO Globetrotter XXL (Location / Rent),3 000 km,25/09/2025,Gazoil,Volvo,1848,FRANCE,2600,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10399575_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Neuf
