Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat
00013489,Tracteur DAF XF 530,538000.0,2019-12-18,Gazoil,DAF,530,FRANCE,45800.0,BERROYER,Vendée,8.27,19.0,4x2,530.0,Occasion
LOC-VO24-1637-A,Tracteur Volvo neuf FH 500 AERO Globetrotter XXL (Location / Rent),3000.0,2025-09-25,Gazoil,Volvo,530,FRANCE,2600.0,SYLTRAILER,PyrénéesOrientales,8.27,19.0,4x2,510.0,Neuf
LOC-VO24-1637-C,Tracteur Volvo FH 500 AERO Globetrotter XXL (Location / Rent),3000.0,2025-09-25,Gazoil,Volvo,1843,FRANCE,2600.0,SYLTRAILER,PyrénéesOrientales,8.27,19.0,4x2,510.0,Occasion
GK-715-RN,Tracteur auto-école Iveco S-WAY 460,70400.0,2022-11-23,Gazoil,Iveco,440,FRANCE,65000.0,Mauffrey,Vosges,7.51,19.0,4x2,430.0,Occasion
FZ-374-MW,Tracteur auto-école Iveco S-WAY 460,85555.0,2021-05-27,Gazoil,Iveco,1848 LS,FRANCE,62000.0,Mauffrey,Vosges,8.27,44.0,4x2,482.0,Occasion
XLRTEH4300G375129,Tracteur Mercedes Actros 1843,346672.0,2016-03-16,Gazoil,Mercedes,18.580 XXL,FRANCE,37000.0,Trans lev,Jura,7.65,18.0,4x2,482.0,Occasion
XLRTEH4300G345965,Tracteur DAF 480 XF FT 4X2,359568.0,2021-10-21,Gazoil,DAF,1851,FRANCE,36000.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,6.87,19.0,4x2,460.0,Occasion
00013161,Tracteur DAF 480 XF FT 4X2,325148.0,2021-03-04,Gazoil,DAF,18.470,FRANCE,35200.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.58,19.0,4x2,530.0,Occasion
VO25-1966,Tracteur DAF XF 530,538000.0,2019-12-18,Gazoil,DAF,18.460,FRANCE,45800.0,BERROYER,Vendée,7.65,18.0,4x2,490.0,Occasion
VO25-1967,Tracteur Volvo FH 500 AERO Globetrotter XXL (Location / Rent),3000.0,2025-09-25,Gazoil,Volvo,1843,FRANCE,2600.0,SYLTRAILER,PyrénéesOrientales,7.8,19.0,4x2,460.0,Occasion
VO26-2072,Tracteur DAF XF 530,538000.0,2019-12-18,Gazoil,DAF,19.480,FRANCE,45800.0,BERROYER,Vendée,7.65,19.0,4x2,460.0,Occasion
LOC-VO24-1338,Tracteur Volvo FH 500 AERO Globetrotter XXL (Location / Rent),3000.0,2025-09-25,Gazoil,Volvo,18.480,FRANCE,2600.0,SYLTRAILER,PyrénéesOrientales,19.0,19.0,4x2,460.0,Occasion
XLRTEH4300G378063,Tracteur Mercedes Actros 1843,346672.0,2016-03-16,Gazoil,Mercedes,1851 L,FRANCE,37000.0,Trans lev,Jura,9.26,19.0,4x2,482.0,Occasion
XLRTEH4300G384575,Tracteur DAF 480 XF FT 4X2,359568.0,2021-10-21,Gazoil,DAF,730,FRANCE,36000.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.0,19.0,4x2,482.0,Occasion
XLRTEH4100G326931,Tracteur DAF 480 XF FT 4X2,325148.0,2021-03-04,Gazoil,DAF,450,FRANCE,35200.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,6.97,19.0,4x2,482.0,Occasion
XLRTEH4300G302809,Tracteur DAF 480 XF FT 4X2,388894.0,2021-11-18,Gazoil,DAF,480 FT,FRANCE,33900.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.76,19.0,4x2,530.0,Occasion
