Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Photo,Poids à vide,PTC,Essieux,Puissance,Etat
LOC-VO24-1338,Tracteur Volvo F6 FH 460 Hydraulique (Location / Rent),580 000 km,04/04/2019,Gazoil,Volvo,440,FRANCE,1900,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10715372_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1338,Tracteur Volvo F6 FH 460 Hydraulique (Location / Rent),580 000 km,04/04/2019,Hybride,Volvo,18.470,FRANCE,1900,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10715372_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
LOC-VO24-1339,Tracteur Volvo F6 FH 460 Hydraulique (Location / Rent),580 000 km,04/04/2019,Gazoil,Volvo,480,FRANCE,1900,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10715372_th.jpg,10.91 Tonnes,19 Tonnes,4x2,460,Occasion
7CB290EA-4ECA-4402-ADF8-07C45613EB6A,Tracteur produits dangereux / adr Renault T-Series 440,455 375 km,16/01/2020,Gazoil,Renault,480,FRANCE,754,RENAULT TRUCKS GRAND PARIS MASSY, Essonne,https://photo.static-viamobilis.com/31/1/11159440-photo-tracteur_th.jpg,8 Tonnes,19 Tonnes,4x2,500,Occasion
169-GF909GX,Tracteur Mercedes Actros 1848,673 345 km,17/06/2022,Gazoil,Mercedes,530,FRANCE,1900,INTER LOC 85, Vendée,https://photo.static-viamobilis.com/31/1/10499135-photo-tracteur_th.jpg,7.64 Tonnes,19 Tonnes,4x2,470,Occasion
DP542SB,Tracteur Mercedes Actros 1848,255 000 km,17/06/2022,Gazoil,Mercedes,480,FRANCE,1900,INTER LOC 85, Vendée,https://photo.static-viamobilis.com/31/1/10499135-photo-tracteur_th.jpg,7.53 Tonnes,18 Tonnes,4x2,480,Occasion
XLRTEH4300G400497,Tracteur MAN TGX 18.500 4x2 | Leasing,350 252 km,22/12/2020,Gazoil,MAN,500,FRANCE,1520,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10409214_th.jpg,7.19 Tonnes,115 Tonnes,4x2,480,Occasion
XLRTEH4300G383693,Tracteur produits dangereux / adr Mercedes Actros 1845 | Leasing,395 192 km,04/05/2020,Gazoil,Mercedes,460.19 DTI 11,FRANCE,1864,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10237701_th.jpg,7.93 Tonnes,19 Tonnes,4x2,430,Occasion
XLRTEH4300G340802,Tracteur produits dangereux / adr Mercedes Actros 1848 | Leasing,262 522 km,06/05/2019,Gazoil,Mercedes,490,FRANCE,2040,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10422275_th.jpg,7.67 Tonnes,18 Tonnes,4x2,482,Occasion
XLRTEH4300G340458,Tracteur Volvo FH 500 Globetrotter XL 4x2 | Leasing,494 748 km,09/11/2020,Gazoil,Volvo,500,FRANCE,1876,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10422278_th.jpg,10.57 Tonnes,19 Tonnes,4x2,482,Occasion
XLRTEH4100G328665,Tracteur DAF 480 XF SSC 2x Tanks | Leasing from €1363/month,215 532 km,11/06/2021,Gazoil,DAF,500 Globetrotter,FRANCE,1363,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10422280_th.jpg,7.86 Tonnes,18 Tonnes,4x2,482,Occasion
XLRTEH4100G376135,Tracteur MAN TGX 18.500 4x2 | Leasing from €2003/month,350 000 km,01/02/2021,Gazoil,MAN,500 Globetrotter,FRANCE,2003,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10422289_th.jpg,8.54 Tonnes,19 Tonnes,4x2,482,Occasion
XLRTEH4300G343086,Tracteur MAN TGX 18.470 4x2 | Leasing from €1980/month,307 137 km,05/08/2021,Gazoil,MAN,500 Globetrotter,FRANCE,1980,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10442733_th.jpg,7.63 Tonnes,44 Tonnes,4x2,450,Occasion
XLRTEH4300G339382,Tracteur MAN TGX 18.470 4x2 | Leasing from €1534/month,315 323 km,09/03/2020,Gazoil,MAN,18.510,FRANCE,1534,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10475398_th.jpg,8 Tonnes,19 Tonnes,4x2,510,Occasion
