Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat
LOC-VO24-1338,Tracteur Volvo F6 FH 460 Hydraulique (Location / Rent),580000.0,2019-04-04,Gazoil,Volvo,440,FRANCE,1900,SYLTRAILER,PyrénéesOrientales,7.65,19.0,4x2,460.0,Occasion
VO24-1338,Tracteur Volvo F6 FH 460 Hydraulique (Location / Rent),580000.0,2019-04-04,Hybride,Volvo,18.470,FRANCE,1900,SYLTRAILER,PyrénéesOrientales,7.65,19.0,4x2,460.0,Occasion
LOC-VO24-1339,Tracteur Volvo F6 FH 460 Hydraulique (Location / Rent),580000.0,2019-04-04,Gazoil,Volvo,480,FRANCE,1900,SYLTRAILER,PyrénéesOrientales,10.91,19.0,4x2,460.0,Occasion
7CB290EA-4ECA-4402-ADF8-07C45613EB6A,Tracteur produits dangereux / adr Renault T-Series 440,455375.0,2020-01-16,Gazoil,Renault,480,FRANCE,754,RENAULT TRUCKS GRAND PARIS MASSY,Essonne,8.0,19.0,4x2,500.0,Occasion
169-GF909GX,Tracteur Mercedes Actros 1848,673345.0,2022-06-17,Gazoil,Mercedes,530,FRANCE,1900,INTER LOC 85,Vendée,7.64,19.0,4x2,470.0,Occasion
DP542SB,Tracteur Mercedes Actros 1848,255000.0,2022-06-17,Gazoil,Mercedes,480,FRANCE,1900,INTER LOC 85,Vendée,7.53,18.0,4x2,480.0,Occasion
XLRTEH4300G400497,Tracteur MAN TGX 18.500 4x2 | Leasing,350252.0,2020-12-22,Gazoil,MAN,500,FRANCE,1520,SPARDEX,Nord,7.19,115.0,4x2,480.0,Occasion
XLRTEH4300G383693,Tracteur produits dangereux / adr Mercedes Actros 1845 | Leasing,395192.0,2020-05-04,Gazoil,Mercedes,460.19 DTI 11,FRANCE,1864,SPARDEX,Nord,7.93,19.0,4x2,430.0,Occasion
XLRTEH4300G340802,Tracteur produits dangereux / adr Mercedes Actros 1848 | Leasing,262522.0,2019-05-06,Gazoil,Mercedes,490,FRANCE,2040,SPARDEX,Nord,7.67,18.0,4x2,482.0,Occasion
XLRTEH4300G340458,Tracteur Volvo FH 500 Globetrotter XL 4x2 | Leasing,494748.0,2020-11-09,Gazoil,Volvo,500,FRANCE,1876,SPARDEX,Nord,10.57,19.0,4x2,482.0,Occasion
XLRTEH4100G328665,Tracteur DAF 480 XF SSC 2x Tanks | Leasing from €1363/month,215532.0,2021-06-11,Gazoil,DAF,500 Globetrotter,FRANCE,1363,SPARDEX,Nord,7.86,18.0,4x2,482.0,Occasion
XLRTEH4100G376135,Tracteur MAN TGX 18.500 4x2 | Leasing from €2003/month,350000.0,2021-02-01,Gazoil,MAN,500 Globetrotter,FRANCE,2003,SPARDEX,Nord,8.54,19.0,4x2,482.0,Occasion
XLRTEH4300G343086,Tracteur MAN TGX 18.470 4x2 | Leasing from €1980/month,307137.0,2021-08-05,Gazoil,MAN,500 Globetrotter,FRANCE,1980,SPARDEX,Nord,7.63,44.0,4x2,450.0,Occasion
XLRTEH4300G339382,Tracteur MAN TGX 18.470 4x2 | Leasing from €1534/month,315323.0,2020-03-09,Gazoil,MAN,18.510,FRANCE,1534,SPARDEX,Nord,8.0,19.0,4x2,510.0,Occasion
XLRTEH4300G375355,Tracteur MAN TGX 18.500 4x2 | Leasing from €1595/month,486300.0,2020-11-24,Gazoil,MAN,460.19 DTI 11,FRANCE,1595,SPARDEX,Nord,8.0,44.0,4x2,430.0,Occasion
XLRTEH4300G376323,Tracteur DAF 480 XF SC | Leasing from €1422/ month,375000.0,2020-03-31,Gazoil,DAF,1851 LSN 37,FRANCE,1422,SPARDEX,Nord,8.0,19.0,4x2,440.0,Occasion
XLRTEH4300G375207,Tracteur DAF 480 XF SC 4x2 | Leasing from €1457/ month,193020.0,2021-02-16,Gazoil,DAF,460,FRANCE,1457,SPARDEX,Nord,8.0,19.0,4x2,480.0,Occasion
XLRTEH4300G374603,Tracteur DAF 480 XF SSC | Leasing from €1260/ month,469602.0,2020-10-13,Gazoil,DAF,460,FRANCE,1260,SPARDEX,Nord,9.0,19.0,4x2,480.0,Occasion
XLRTEH4300G346875,Tracteur DAF 480 XF SSC 4x2 | Leasing from €2579/ month,392000.0,2019-06-11,Gazoil,DAF,500,FRANCE,2579,SPARDEX,Nord,8.0,21.0,4x2,500.0,Occasion
XLRTEH4300G381021,Tracteur Renault T480 Sleeper Cab | Leasing from €1530/month,393390.0,2020-09-30,Gazoil,Renault,580,FRANCE,1530,SPARDEX,Nord,7.65,19.0,4x2,480.0,Occasion
XLRTEH4300G371388,Tracteur DAF 480 XF SC 4x2 | Leasing from €1513/month,40000.0,2021-12-08,Gazoil,DAF,460,FRANCE,1513,SPARDEX,Nord,7.43,19.0,4x2,500.0,Occasion
XLRTEF5300G427920,Tracteur DAF 480 XF SSC | Leasing from €1602/month,67000.0,2020-02-06,Gazoil,DAF,480,FRANCE,1602,SPARDEX,Nord,7.31,19.0,4x2,519.0,Occasion
