Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Photo,Poids à vide,PTC,Essieux,Puissance,Etat
VO24-1335,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),637 883 km,02/04/2019,Gazoil,Volvo,2046,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079675_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1338,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),666 959 km,04/04/2019,Gazoil,Volvo,500 Globetrotter,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079676_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1346,Tracteur Volvo F6 460 (LOA LOCATION OPTION D'ACHAT / LOCATION / VENTE) FH,455 619 km,03/10/2017,Gazoil,Volvo,460 FTP,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11080218_th.jpg,7.8 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1334,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),629 709 km,02/04/2019,Hybride,Volvo,520,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079744_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1339,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),584 503 km,13/06/2019,Gazoil,Volvo,460,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079674_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
LOC-VO24-1637-A,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),637 883 km,02/04/2019,Gazoil,Volvo,NP400,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079675_th.jpg,7.65 Tonnes,19 Tonnes,4x2,510,Occasion
LOC-VO24-1339,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),666 959 km,04/04/2019,Gazoil,Volvo,124P360,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079676_th.jpg,7.51 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1334,Tracteur Volvo F6 460 (LOA LOCATION OPTION D'ACHAT / LOCATION / VENTE) FH,455 619 km,03/10/2017,Gazoil,Volvo,500,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11080218_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1339,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),629 709 km,02/04/2019,Gazoil,Volvo,480.19 DTI 13,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079744_th.jpg,6.87 Tonnes,19 Tonnes,4x2,430,Occasion
GK-715-RN,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),584 503 km,13/06/2019,Gazoil,Volvo,480.18 DTI 13,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079674_th.jpg,8.58 Tonnes,44 Tonnes,4x2,482,Occasion
