Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat,Prix_connu
VO24-1335,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),637883.0,2019-04-02,Gazoil,Volvo,2046,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.65,19.0,4x2,460.0,Occasion,False
VO24-1338,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),666959.0,2019-04-04,Gazoil,Volvo,500 Globetrotter,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.65,19.0,4x2,460.0,Occasion,False
VO24-1346,Tracteur Volvo F6 460 (LOA LOCATION OPTION D'ACHAT / LOCATION / VENTE) FH,455619.0,2017-10-03,Gazoil,Volvo,460 FTP,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.8,19.0,4x2,460.0,Occasion,False
VO24-1334,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),629709.0,2019-04-02,Hybride,Volvo,520,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.65,19.0,4x2,460.0,Occasion,False
VO24-1339,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),584503.0,2019-06-13,Gazoil,Volvo,460,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.65,19.0,4x2,460.0,Occasion,False
LOC-VO24-1637-A,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),637883.0,2019-04-02,Gazoil,Volvo,NP400,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.65,19.0,4x2,510.0,Occasion,False
LOC-VO24-1339,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),666959.0,2019-04-04,Gazoil,Volvo,124P360,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.51,19.0,4x2,460.0,Occasion,False
GK-715-RN,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),584503.0,2019-06-13,Gazoil,Volvo,480.18 DTI 13,FRANCE,,SYLTRAILER,PyrénéesOrientales,8.58,44.0,4x2,482.0,Occasion,False
LOC-VO24-1637-C,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),637883.0,2019-04-02,Hybride,Volvo,420,FRANCE,,SYLTRAILER,PyrénéesOrientales,8.5,19.0,4x2,460.0,Occasion,False
FZ-374-MW,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),584503.0,2019-06-13,Gazoil,Volvo,I SAVE 500,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.76,19.0,4x2,482.0,Occasion,False
