Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Photo,Poids à vide,PTC,Essieux,Puissance,Etat
00013161,Tracteur Mercedes Arocs 2046,220 000 km,31/01/2018,Gazoil,Mercedes,2046,FRANCE,Prix sur demande,BERROYER, Vendée,https://photo.static-viamobilis.com/31/1/8103128_th.jpg,7.51 Tonnes,19 Tonnes,4x2,460,Occasion
VO25-1966,Tracteur Volvo F6 460 FH,511 000 km,04/04/2019,Gazoil,Volvo,1843,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10861013_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
VO26-2072,Tracteur Iveco S-WAY 490,416 350 km,21/10/2022,Gazoil,Iveco,2046,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11115045_th.jpg,6.87 Tonnes,18 Tonnes,4x2,490,Occasion
VO25-1984,Tracteur produits dangereux / adr Renault neuf T-High 480 4X2 E6 Gamme,74 km,12/06/2024,Gazoil,Renault,530,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10906016_th.jpg,8.58 Tonnes,19 Tonnes,4x2,480,Neuf
VO25-1969,Tracteur Volvo F6 460 FH,668 000 km,15/11/2019,Gazoil,Volvo,1843,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10861010_th.jpg,7.64 Tonnes,19 Tonnes,4x2,460,Occasion
VO25-1967,Tracteur Volvo F6 460 FH,631 726 km,04/04/2019,Gazoil,Volvo,500,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11114532_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
LOC-VO24-1339,Tracteur Volvo F6 FH 460 Hydraulique (Location / Rent),548 503 km,13/06/2019,Gazoil,Volvo,18.510,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10950633_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
00013489,Tracteur Mercedes Arocs 2046,220 000 km,31/01/2018,Gazoil,Mercedes,124P360,FRANCE,Prix sur demande,BERROYER, Vendée,https://photo.static-viamobilis.com/31/1/8103128_th.jpg,7.64 Tonnes,19 Tonnes,4x2,460,Occasion
VO26-2072,Tracteur Volvo F6 460 FH,511 000 km,04/04/2019,Gazoil,Volvo,500,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10861013_th.jpg,8.27 Tonnes,19 Tonnes,4x2,480,Occasion
VO25-1984,Tracteur Iveco S-WAY 490,416 350 km,21/10/2022,Gazoil,Iveco,480.19 DTI 13,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11115045_th.jpg,8.27 Tonnes,19 Tonnes,4x2,460,Occasion
VO25-1969,Tracteur produits dangereux / adr Renault neuf T-High 480 4X2 E6 Gamme,74 km,12/06/2024,Gazoil,Renault,480.18 DTI 13,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10906016_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Neuf
VO24-1335,Tracteur Volvo F6 460 FH,668 000 km,15/11/2019,Gazoil,Volvo,420 DCI,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10861010_th.jpg,7.65 Tonnes,19 Tonnes,4x2,510,Occasion
LOC-VO24-1338,Tracteur Volvo F6 460 FH,631 726 km,04/04/2019,Gazoil,Volvo,AS 440 S 40,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11114532_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1346,Tracteur Volvo F6 FH 460 Hydraulique (Location / Rent),548 503 km,13/06/2019,Gazoil,Volvo,18.460,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10950633_th.jpg,8.27 Tonnes,19 Tonnes,4x2,460,Occasion
VO25-1966,Tracteur Mercedes Arocs 2046,220 000 km,31/01/2018,Gazoil,Mercedes,AS 440 S 46,FRANCE,Prix sur demande,BERROYER, Vendée,https://photo.static-viamobilis.com/31/1/8103128_th.jpg,7.65 Tonnes,19 Tonnes,4x2,480,Occasion
VO25-1984,Tracteur Volvo F6 460 FH,511 000 km,04/04/2019,Gazoil,Volvo,480 X Road,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10861013_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
VO25-1969,Tracteur Iveco S-WAY 490,416 350 km,21/10/2022,Gazoil,Iveco,460,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11115045_th.jpg,7.8 Tonnes,19 Tonnes,4x2,510,Occasion
VO24-1335,Tracteur produits dangereux / adr Renault neuf T-High 480 4X2 E6 Gamme,74 km,12/06/2024,Gazoil,Renault,480,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10906016_th.jpg,7.65 Tonnes,19 Tonnes,4x2,510,Neuf
LOC-VO24-1637-A,Tracteur Volvo F6 460 FH,668 000 km,15/11/2019,Gazoil,Volvo,420,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10861010_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1338,Tracteur Volvo F6 460 FH,631 726 km,04/04/2019,Gazoil,Volvo,18.470,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11114532_th.jpg,8.39 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1334,Tracteur Volvo F6 FH 460 Hydraulique (Location / Rent),548 503 km,13/06/2019,Gazoil,Volvo,560,FRANCE,Prix sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/10950633_th.jpg,9.07 Tonnes,19 Tonnes,4x2,430,Occasion
7B2D08CE-32DE-405A-B597-C778241F45B2,Tracteur Renault T-Series,371 171 km,13/06/2022,Gazoil,Renault,520,FRANCE,Prix sur demande,FAURIE USED TRUCKS, Corrèze,https://photo.static-viamobilis.com/31/1/11013086_th.jpg,7.15 Tonnes,19 Tonnes,4x2,360,Occasion
3760,Tracteur Renault T-Series T Renault T440,1 057 011 km,28/10/2014,Gazoil,Renault,480,FRANCE,Prix sur demande,VOLVO TRUCK CENTER NORD PICARDIE R, PasdeCalais,https://photo.static-viamobilis.com/31/1/11090926_th.jpg,8 Tonnes,19 Tonnes,6x2,510,Occasion
3667,Tracteur Scania S -serie cania 770s,511 162 km,05/01/2022,Gazoil,Scania,480,FRANCE,Prix sur demande,VOLVO TRUCK CENTER NORD PICARDIE R, PasdeCalais,https://photo.static-viamobilis.com/31/1/11089825_th.jpg,8 Tonnes,19 Tonnes,4x2,641,Occasion
3744,Tracteur Volvo FH VOLVO 500,306 742 km,31/05/2022,Gazoil,Volvo,750,FRANCE,Prix sur demande,VOLVO TRUCK CENTER NORD PICARDIE R, PasdeCalais,https://photo.static-viamobilis.com/31/1/11089824_th.jpg,8 Tonnes,19 Tonnes,4x2,460,Occasion
1650764,Tracteur Volvo FH 500 Globetrotter,254 828 km,08/03/2023,Gazoil,Volvo,660,FRANCE,Prix sur demande,SCANNORD, Nord,https://photo.static-viamobilis.com/31/1/11094027-photo-tracteur_th.jpg,8.57 Tonnes,19.5 Tonnes,6x4,580,Occasion
4794,Tracteur MAN TGX 18.510,123 210 km,09/05/2023,Gazoil,MAN,480,FRANCE,Prix sur demande,Finacess SAS, SeineetMarne,https://photo.static-viamobilis.com/31/1/10912471-photo-tracteur_th.jpg,8.66 Tonnes,19 Tonnes,6x6,520,Occasion
4881,Tracteur MAN TGX 33.640 6X4 BLS,393 488 km,11/06/2019,Gazoil,MAN,18.500,FRANCE,Prix sur demande,Socovi SND, Doubs,https://photo.static-viamobilis.com/31/1/10960070_th.jpg,8.28 Tonnes,19 Tonnes,6x4,500,Occasion
