Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat,Prix_connu
00013161,Tracteur Mercedes Arocs 2046,220000.0,2018-01-31,Gazoil,Mercedes,2046,FRANCE,,BERROYER,Vendée,7.51,19.0,4x2,460.0,Occasion,False
VO25-1966,Tracteur Volvo F6 460 FH,511000.0,2019-04-04,Gazoil,Volvo,1843,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.65,19.0,4x2,460.0,Occasion,False
VO26-2072,Tracteur Iveco S-WAY 490,416350.0,2022-10-21,Gazoil,Iveco,2046,FRANCE,,SYLTRAILER,PyrénéesOrientales,6.87,18.0,4x2,490.0,Occasion,False
VO25-1984,Tracteur produits dangereux / adr Renault neuf T-High 480 4X2 E6 Gamme,74.0,2024-06-12,Gazoil,Renault,530,FRANCE,,SYLTRAILER,PyrénéesOrientales,8.58,19.0,4x2,480.0,Neuf,False
VO25-1969,Tracteur Volvo F6 460 FH,668000.0,2019-11-15,Gazoil,Volvo,1843,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.64,19.0,4x2,460.0,Occasion,False
VO25-1967,Tracteur Volvo F6 460 FH,631726.0,2019-04-04,Gazoil,Volvo,500,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.65,19.0,4x2,460.0,Occasion,False
LOC-VO24-1339,Tracteur Volvo F6 FH 460 Hydraulique (Location / Rent),548503.0,2019-06-13,Gazoil,Volvo,18.510,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.65,19.0,4x2,460.0,Occasion,False
00013489,Tracteur Mercedes Arocs 2046,220000.0,2018-01-31,Gazoil,Mercedes,124P360,FRANCE,,BERROYER,Vendée,7.64,19.0,4x2,460.0,Occasion,False
VO24-1335,Tracteur Volvo F6 460 FH,668000.0,2019-11-15,Gazoil,Volvo,420 DCI,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.65,19.0,4x2,510.0,Occasion,False
LOC-VO24-1338,Tracteur Volvo F6 460 FH,631726.0,2019-04-04,Gazoil,Volvo,AS 440 S 40,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.65,19.0,4x2,460.0,Occasion,False
VO24-1346,Tracteur Volvo F6 FH 460 Hydraulique (Location / Rent),548503.0,2019-06-13,Gazoil,Volvo,18.460,FRANCE,,SYLTRAILER,PyrénéesOrientales,8.27,19.0,4x2,460.0,Occasion,False
LOC-VO24-1637-A,Tracteur Volvo F6 460 FH,668000.0,2019-11-15,Gazoil,Volvo,420,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.65,19.0,4x2,460.0,Occasion,False
VO24-1338,Tracteur Volvo F6 460 FH,631726.0,2019-04-04,Gazoil,Volvo,18.470,FRANCE,,SYLTRAILER,PyrénéesOrientales,8.39,19.0,4x2,460.0,Occasion,False
VO24-1334,Tracteur Volvo F6 FH 460 Hydraulique (Location / Rent),548503.0,2019-06-13,Gazoil,Volvo,560,FRANCE,,SYLTRAILER,PyrénéesOrientales,9.07,19.0,4x2,430.0,Occasion,False
7B2D08CE-32DE-405A-B597-C778241F45B2,Tracteur Renault T-Series,371171.0,2022-06-13,Gazoil,Renault,520,FRANCE,,FAURIE USED TRUCKS,Corrèze,7.15,19.0,4x2,360.0,Occasion,False
3760,Tracteur Renault T-Series T Renault T440,1057011.0,2014-10-28,Gazoil,Renault,480,FRANCE,,VOLVO TRUCK CENTER NORD PICARDIE R,PasdeCalais,8.0,19.0,6x2,510.0,Occasion,False
3667,Tracteur Scania S -serie cania 770s,511162.0,2022-01-05,Gazoil,Scania,480,FRANCE,,VOLVO TRUCK CENTER NORD PICARDIE R,PasdeCalais,8.0,19.0,4x2,641.0,Occasion,False
3744,Tracteur Volvo FH VOLVO 500,306742.0,2022-05-31,Gazoil,Volvo,750,FRANCE,,VOLVO TRUCK CENTER NORD PICARDIE R,PasdeCalais,8.0,19.0,4x2,460.0,Occasion,False
1650764,Tracteur Volvo FH 500 Globetrotter,254828.0,2023-03-08,Gazoil,Volvo,660,FRANCE,,SCANNORD,Nord,8.57,19.5,6x4,580.0,Occasion,False
4794,Tracteur MAN TGX 18.510,123210.0,2023-05-09,Gazoil,MAN,480,FRANCE,,Finacess SAS,SeineetMarne,8.66,19.0,6x6,520.0,Occasion,False
4881,Tracteur MAN TGX 33.640 6X4 BLS,393488.0,2019-06-11,Gazoil,MAN,18.500,FRANCE,,Socovi SND,Doubs,8.28,19.0,6x4,500.0,Occasion,False
71629,Tracteur Renault Kerax 460 DXI,431499.0,2012-11-21,Gazoil,Renault,500,FRANCE,,SOMOSER,HauteGaronne,6.84,19.0,4x2,430.0,Occasion,False
89- EH961MW,Tracteur AMG M 931,280000.0,,Gazoil,AMG,1848,FRANCE,,CLOMAT SARL,Nord,7.62,19.0,4x2,440.0,Occasion,False
3430 LG,Véhicule pour pièces Mercedes Actros,389000.0,,Gazoil,Mercedes,18.430,FRANCE,,SURPLUS INDUSTRIES (Pieces PL),Tarn,7.86,44.0,4x2,500.0,Occasion,False
BS118YZ,Tracteur Scania P 124P360,782651.0,1999-03-31,Hybride,Scania,1845,FRANCE,,GLOBAL GCTF,MeurtheetMoselle,7.0,19.0,4x2,460.0,Occasion,False
FD-929,Tracteur MAN TGX 18.460,293.0,2017-10-31,Gazoil,MAN,1845,FRANCE,,INTERNATIONAL STRATEGE SARL,SeineMaritime,8.9,19.0,4x2,420.0,Occasion,False
77,Tracteur Renault C-Series,506485.0,,Gazoil,Renault,1845,FRANCE,,FAURIE USED TRUCKS,Corrèze,8.48,19.0,4x2,400.0,Occasion,False
SAVIEM,Tracteur MAN TGS 33.440,389000.0,2014-02-10,Hybride,MAN,18.500,FRANCE,,DPL 21,Côted'Or,7.42,19.0,4x2,510.0,Occasion - Accidenté,False
362,Tracteur Scania P 124P360,506485.0,1999-03-31,Gazoil,Scania,510,FRANCE,,GLOBAL GCTF,MeurtheetMoselle,7.8,19.0,4x2,480.0,Occasion,False
